month,total_sales
2020-05,3184.000
2020-06,5483.000
2020-07,8970.000
2020-08,8484.000
2020-09,8950.000
2020-10,13080.000
2020-11,10671.000
2020-12,11788.000
2021-01,14699.000
2021-02,12569.000
2021-03,12572.000
2021-04,16567.000
2021-05,15501.000
2021-06,15449.000
2021-07,19551.000
2021-08,15785.000
2021-09,16567.000
2021-10,23096.000
2021-11,18016.000
2021-12,22987.000
2022-01,19057.000
2022-02,19694.000
2022-03,20058.000
2022-04,25207.000
2022-05,20474.000
2022-06,20566.000
2022-07,26657.000
2022-08,21809.000
2022-09,28672.000
2022-10,23876.000
2022-11,24049.000
2022-12,33034.000
2023-01,24403.000
2023-02,26750.000
2023-03,35418.000
2023-04,29542.000
2023-05,31442.000
2023-06,39264.000
2023-07,29801.000
2023-08,32790.000
2023-09,41035.000
2023-10,33086.000
2023-11,32886.000
2023-12,45024.000
2024-01,33747.000
2024-02,33443.000
2024-03,43502.000
2024-04,34773.000
2024-05,44079.000
2024-06,36337.000
2024-07,32827.000
2024-08,43255.000
2024-09,34352.000
2024-10,34339.000
2024-11,40756.000
2024-12,35918.000
2025-01,38733.000
2025-02,31989.000
2025-03,32942.000
2025-04,32476.000
2025-05,40042.000
2025-06,33612.000
2025-07,32326.000
2025-08,42220.000
2025-09,33377.000
2025-10,8849.000
