month,total_claims
2023-01-01 00:00:00+00:00,5256
2023-02-01 00:00:00+00:00,5139
2023-03-01 00:00:00+00:00,6281
2023-04-01 00:00:00+00:00,5672
2023-05-01 00:00:00+00:00,6544
2023-06-01 00:00:00+00:00,6589
2023-07-01 00:00:00+00:00,6327
2023-08-01 00:00:00+00:00,7403
2023-09-01 00:00:00+00:00,6925
2023-10-01 00:00:00+00:00,7372
2023-11-01 00:00:00+00:00,7494
2023-12-01 00:00:00+00:00,6959
2024-01-01 00:00:00+00:00,7724
2024-02-01 00:00:00+00:00,6304
2024-03-01 00:00:00+00:00,5733
2024-04-01 00:00:00+00:00,6412
2024-05-01 00:00:00+00:00,6780
2024-06-01 00:00:00+00:00,5825
2024-07-01 00:00:00+00:00,6470
2024-08-01 00:00:00+00:00,6508
2024-09-01 00:00:00+00:00,5979
2024-10-01 00:00:00+00:00,6812
2024-11-01 00:00:00+00:00,5810
2024-12-01 00:00:00+00:00,6240
2025-01-01 00:00:00+00:00,6484
2025-02-01 00:00:00+00:00,5680
2025-03-01 00:00:00+00:00,5989
2025-04-01 00:00:00+00:00,5909
2025-05-01 00:00:00+00:00,5934
2025-06-01 00:00:00+00:00,5562
2025-07-01 00:00:00+00:00,6272
