regn_nm,q4_23_sales,q1_24_sales,sales_growth,growth_percentage
Eastern Coastal,9296.0,10782.0,1486.0,15.98537
Southeast,10842.0,12568.0,1726.0,15.919572
North Central,5805.0,6418.0,613.0,10.559862
Great Lakes,8721.0,9194.0,473.0,5.42369
Blue Grass,6459.0,6598.0,139.0,2.152036
Atlantic Coastal,7274.0,7357.0,83.0,1.14105
SoCAL,6747.0,6781.0,34.0,0.503928
Atlanta,8302.0,8282.0,-20.0,-0.240906
Pacific Northwest,8791.0,8740.0,-51.0,-0.580139
New England,6554.0,6491.0,-63.0,-0.961245
Gulf Plains,8877.0,8718.0,-159.0,-1.791146
Rocky Mountains,6744.0,6539.0,-205.0,-3.039739
New York,7253.0,6419.0,-834.0,-11.49869
Texas,9331.0,5785.0,-3546.0,-38.002358
Unknown,0.0,20.0,20.0,
